arrival_rate,replication,prob_delayed,prob_lost,avg_delay,total_delay
50.00,0,0.043200,0.002320,23.954452,63.977121
50.00,1,0.042160,0.002420,23.596548,64.078817
50.00,2,0.043700,0.002110,23.213229,63.977798
50.00,3,0.042940,0.002290,23.501110,63.969854
50.00,4,0.043640,0.002230,23.984992,64.087354
50.00,5,0.043030,0.002470,23.990071,64.065552
50.00,6,0.041490,0.002170,23.718869,63.756963
50.00,7,0.042450,0.002170,23.612348,63.868073
50.00,8,0.043500,0.002370,24.064523,64.143553
50.00,9,0.043830,0.002260,24.553014,64.050135
50.00,10,0.043760,0.002030,23.110560,64.008794
50.00,11,0.041500,0.001850,22.886402,63.919499
50.00,12,0.041300,0.002110,23.450711,63.804852
50.00,13,0.042230,0.002070,23.603769,63.896755
50.00,14,0.043550,0.002750,23.935276,63.869546
50.00,15,0.043250,0.002190,23.795348,63.973639
50.00,16,0.041370,0.002140,23.445902,63.811374
50.00,17,0.043990,0.002510,23.784391,64.126379
50.00,18,0.041500,0.001980,23.539505,63.990710
50.00,19,0.043830,0.002260,22.696423,63.968529
50.00,20,0.044060,0.002540,23.981046,64.009626
50.00,21,0.040920,0.002270,24.093239,63.842967
50.00,22,0.043450,0.002560,23.784337,63.932141
50.00,23,0.043450,0.002540,23.758821,63.946074
50.00,24,0.044210,0.002240,23.267512,64.030731
50.00,25,0.041840,0.002050,23.068596,63.879910
50.00,26,0.042920,0.002570,23.996035,64.005879
50.00,27,0.042850,0.002250,23.031186,63.941396
50.00,28,0.043470,0.002220,23.731151,64.029842
50.00,29,0.042970,0.002570,24.167151,64.080643
55.00,0,0.055430,0.003450,23.615565,64.379394
55.00,1,0.056080,0.003630,24.304782,64.388742
55.00,2,0.057010,0.003730,23.885164,64.373642
55.00,3,0.055580,0.003640,23.533202,64.363313
55.00,4,0.056140,0.003240,22.853878,64.334382
55.00,5,0.058490,0.003470,24.173535,64.478997
55.00,6,0.052800,0.003290,23.833127,64.238763
55.00,7,0.056360,0.003730,24.328972,64.470070
55.00,8,0.058060,0.003870,23.783092,64.522901
55.00,9,0.056210,0.003950,24.493088,64.414055
55.00,10,0.055830,0.004220,24.492744,64.441419
55.00,11,0.055480,0.003300,23.585936,64.472694
55.00,12,0.055490,0.003310,23.808303,64.377910
55.00,13,0.056830,0.003650,23.474455,64.364629
55.00,14,0.054690,0.003520,24.179967,64.464082
55.00,15,0.055040,0.003170,23.668836,64.290758
55.00,16,0.054740,0.003680,23.893595,64.510656
55.00,17,0.058090,0.003940,24.210519,64.383990
55.00,18,0.057520,0.003820,23.965472,64.482504
55.00,19,0.056350,0.003800,25.146715,64.384280
55.00,20,0.055260,0.003750,23.911554,64.307423
55.00,21,0.057790,0.004030,24.433005,64.445351
55.00,22,0.055670,0.003590,23.994553,64.364507
55.00,23,0.059220,0.004350,24.496748,64.498121
55.00,24,0.057590,0.003630,24.181162,64.428759
55.00,25,0.055470,0.003460,24.032819,64.435721
55.00,26,0.057970,0.003440,23.375630,64.354676
55.00,27,0.057730,0.003810,24.278400,64.444113
55.00,28,0.057840,0.003840,23.692146,64.491175
55.00,29,0.056100,0.003790,24.425320,64.491577
60.00,0,0.071030,0.004670,23.654181,64.959261
60.00,1,0.071180,0.005500,24.957085,65.098715
60.00,2,0.074500,0.005680,24.301385,64.892309
60.00,3,0.071950,0.005740,24.348899,64.877002
60.00,4,0.072320,0.005300,23.987504,64.924633
60.00,5,0.072890,0.005090,23.749164,65.003270
60.00,6,0.071680,0.005200,24.049747,65.012520
60.00,7,0.069670,0.004840,23.859235,64.903420
60.00,8,0.070690,0.005480,24.304472,64.821534
60.00,9,0.073140,0.005840,24.809393,65.014999
60.00,10,0.073750,0.005920,24.285148,64.966559
60.00,11,0.072740,0.005530,24.827137,65.026968
60.00,12,0.072710,0.005620,24.680961,65.023011
60.00,13,0.071270,0.005790,24.822978,64.819121
60.00,14,0.071430,0.005090,24.275221,65.006938
60.00,15,0.071760,0.005560,24.433886,64.996497
60.00,16,0.072250,0.005640,24.249136,65.101059
60.00,17,0.073140,0.005730,25.032311,65.110359
60.00,18,0.073490,0.005840,24.532252,65.009196
60.00,19,0.071590,0.005580,24.005518,65.054543
60.00,20,0.074470,0.005740,24.411065,65.128659
60.00,21,0.072790,0.005220,24.418140,64.869293
60.00,22,0.071000,0.005550,24.478977,64.996987
60.00,23,0.071710,0.005380,24.464301,65.053107
60.00,24,0.071520,0.005490,24.014023,65.004707
60.00,25,0.072260,0.005360,24.520166,64.882563
60.00,26,0.072770,0.005470,24.327486,65.045053
60.00,27,0.072910,0.005420,24.503298,65.046003
60.00,28,0.071520,0.005520,24.609222,65.057773
60.00,29,0.071520,0.005280,24.464974,65.103277
65.00,0,0.090420,0.007590,24.738231,65.807397
65.00,1,0.089720,0.008140,24.782047,65.705829
65.00,2,0.088140,0.006990,24.725333,65.575785
65.00,3,0.089880,0.008130,24.947480,65.662612
65.00,4,0.092460,0.007930,24.795808,65.708435
65.00,5,0.089270,0.008180,24.775639,65.663484
65.00,6,0.088720,0.007560,25.004408,65.662079
65.00,7,0.086510,0.007300,24.300188,65.530099
65.00,8,0.090650,0.007540,24.145028,65.738839
65.00,9,0.092630,0.007900,24.741680,65.729392
65.00,10,0.091340,0.007720,25.033003,65.722669
65.00,11,0.091190,0.007780,25.020042,65.808153
65.00,12,0.092600,0.008060,24.807747,65.811823
65.00,13,0.089550,0.007720,24.758609,65.601632
65.00,14,0.088660,0.008730,25.312155,65.606576
65.00,15,0.089360,0.007760,24.307195,65.646222
65.00,16,0.090060,0.007340,24.461397,65.670105
65.00,17,0.089100,0.008140,24.509818,65.757619
65.00,18,0.088790,0.008350,25.052762,65.636573
65.00,19,0.090300,0.008180,25.154788,65.810010
65.00,20,0.089990,0.008010,24.500904,65.426123
65.00,21,0.091210,0.007740,23.989487,65.485939
65.00,22,0.089540,0.007270,24.817883,65.662701
65.00,23,0.089290,0.007580,24.905806,65.700050
65.00,24,0.088510,0.007950,24.642954,65.678386
65.00,25,0.090410,0.008300,24.647123,65.631397
65.00,26,0.088850,0.007110,23.940030,65.488502
65.00,27,0.088190,0.007400,24.489693,65.441718
65.00,28,0.089110,0.008340,24.798241,65.765186
65.00,29,0.090580,0.008040,24.486390,65.696326
70.00,0,0.109650,0.010650,25.011095,66.627726
70.00,1,0.107920,0.010770,25.032040,66.351541
70.00,2,0.108760,0.010690,25.362721,66.528684
70.00,3,0.106650,0.010860,25.356668,66.468992
70.00,4,0.106540,0.009920,24.969029,66.571796
70.00,5,0.108200,0.011530,25.369949,66.482249
70.00,6,0.110230,0.011260,25.548719,66.696964
70.00,7,0.107210,0.010960,25.539910,66.435857
70.00,8,0.109650,0.010810,25.174020,66.409103
70.00,9,0.107210,0.010260,25.235329,66.408777
70.00,10,0.108620,0.010440,24.909473,66.522679
70.00,11,0.107730,0.010560,24.754838,66.357015
70.00,12,0.111720,0.010900,25.077933,66.503484
70.00,13,0.105420,0.011100,25.070140,66.263665
70.00,14,0.108510,0.011400,25.073771,66.525043
70.00,15,0.109120,0.011190,25.178921,66.508924
70.00,16,0.111200,0.010640,24.717244,66.960326
70.00,17,0.109070,0.011570,25.385939,66.413503
70.00,18,0.112710,0.010620,24.925260,66.628408
70.00,19,0.108730,0.011180,25.276223,66.659014
70.00,20,0.111830,0.010980,24.675542,66.431034
70.00,21,0.110340,0.010890,24.945597,66.624828
70.00,22,0.109410,0.010090,24.872219,66.557972
70.00,23,0.109520,0.011480,25.326838,66.337685
70.00,24,0.109730,0.010970,25.198005,66.487696
70.00,25,0.107540,0.009930,24.587791,66.211034
70.00,26,0.108930,0.010770,25.423807,66.433318
70.00,27,0.108460,0.010570,24.655511,66.383493
70.00,28,0.107480,0.011100,25.550966,66.426141
70.00,29,0.108070,0.010170,25.221167,66.440279
75.00,0,0.127090,0.013990,25.088451,67.289947
75.00,1,0.127400,0.014540,25.393373,67.298586
75.00,2,0.125840,0.014130,25.116182,67.370261
75.00,3,0.128480,0.014140,25.554041,67.502483
75.00,4,0.130500,0.014430,25.552748,67.322327
75.00,5,0.131030,0.014230,25.392459,67.602191
75.00,6,0.129770,0.015110,25.522827,67.443229
75.00,7,0.129410,0.014940,25.972628,67.612245
75.00,8,0.129460,0.014940,25.826030,67.574162
75.00,9,0.126100,0.014680,25.832861,67.548307
75.00,10,0.131980,0.014650,25.396654,67.453784
75.00,11,0.132300,0.014320,25.400919,67.571714
75.00,12,0.129590,0.014750,25.546859,67.554636
75.00,13,0.126240,0.014190,25.232094,67.472859
75.00,14,0.127370,0.014420,25.381081,67.206030
75.00,15,0.133260,0.015200,25.778293,67.798788
75.00,16,0.129450,0.015490,25.200320,67.420015
75.00,17,0.131390,0.015800,25.962748,67.466890
75.00,18,0.128400,0.014570,25.834388,67.364469
75.00,19,0.126840,0.014350,25.750029,67.477337
75.00,20,0.128880,0.014680,25.281977,67.615969
75.00,21,0.128810,0.014440,25.481571,67.487873
75.00,22,0.130830,0.015600,25.466451,67.505888
75.00,23,0.129340,0.014170,25.505711,67.449130
75.00,24,0.129530,0.014760,25.303186,67.476523
75.00,25,0.131140,0.015210,25.413783,67.590407
75.00,26,0.128460,0.014420,25.441941,67.399807
75.00,27,0.127030,0.013870,25.235148,67.429393
75.00,28,0.131020,0.014880,25.811976,67.680926
75.00,29,0.130280,0.014550,25.698362,67.451895
80.00,0,0.150150,0.019570,25.705142,68.381943
80.00,1,0.153830,0.020190,26.175683,68.805414
80.00,2,0.151840,0.019020,25.950285,68.638105
80.00,3,0.153470,0.019720,26.268141,68.579502
80.00,4,0.152720,0.020070,25.892678,68.514549
80.00,5,0.149780,0.019140,25.584249,68.523592
80.00,6,0.151150,0.019190,25.841770,68.570754
80.00,7,0.152500,0.020280,26.043432,68.610720
80.00,8,0.149750,0.018830,25.666422,68.491720
80.00,9,0.152700,0.019050,25.906995,68.670621
80.00,10,0.152200,0.018830,25.501426,68.488502
80.00,11,0.153440,0.019500,25.834860,68.686817
80.00,12,0.146400,0.017550,25.764478,68.493646
80.00,13,0.153560,0.018980,25.888363,68.587102
80.00,14,0.149480,0.019080,25.780463,68.397477
80.00,15,0.152220,0.019020,25.920242,68.438502
80.00,16,0.153630,0.018500,25.651128,68.564952
80.00,17,0.153440,0.019300,25.853268,68.612234
80.00,18,0.153490,0.019610,25.813109,68.726334
80.00,19,0.151700,0.019860,26.159547,68.571874
80.00,20,0.151750,0.019300,25.853233,68.538729
80.00,21,0.152560,0.020130,25.858008,68.619554
80.00,22,0.154420,0.020060,26.004373,68.748147
80.00,23,0.152100,0.019210,25.990098,68.703313
80.00,24,0.148060,0.019060,25.745129,68.146372
80.00,25,0.151420,0.018590,25.553390,68.622757
80.00,26,0.152310,0.019980,26.243462,68.448466
80.00,27,0.153440,0.018370,25.522064,68.806153
80.00,28,0.152120,0.019630,26.093980,68.749735
80.00,29,0.147610,0.018700,25.944250,68.362838
85.00,0,0.170450,0.024350,25.957945,69.698373
85.00,1,0.168530,0.023630,26.061292,69.346014
85.00,2,0.174280,0.025490,26.336976,69.811126
85.00,3,0.176400,0.024960,26.147198,69.696079
85.00,4,0.173720,0.023810,26.323903,70.118104
85.00,5,0.176690,0.025320,26.042889,69.929508
85.00,6,0.176760,0.026140,26.509618,70.436605
85.00,7,0.172930,0.023570,25.975708,70.043025
85.00,8,0.174290,0.025660,26.300481,69.828891
85.00,9,0.176620,0.025410,26.249235,70.007152
85.00,10,0.172250,0.024030,26.336513,70.075826
85.00,11,0.175820,0.024010,26.360216,70.012061
85.00,12,0.170170,0.024320,26.348758,69.773745
85.00,13,0.177290,0.024910,26.036148,69.975748
85.00,14,0.175340,0.025330,25.970465,69.693063
85.00,15,0.173210,0.025030,26.517310,69.637675
85.00,16,0.175150,0.024900,26.268989,69.830603
85.00,17,0.170050,0.023930,25.807317,69.592768
85.00,18,0.174040,0.024630,26.447099,69.816359
85.00,19,0.175500,0.025770,26.145861,70.026230
85.00,20,0.173020,0.024670,26.437295,69.555261
85.00,21,0.173380,0.024470,25.795695,69.613243
85.00,22,0.179350,0.025370,26.182331,70.097096
85.00,23,0.172750,0.024690,26.198792,69.793539
85.00,24,0.176100,0.025560,26.636526,69.751405
85.00,25,0.170640,0.023530,25.717551,69.477413
85.00,26,0.173880,0.025250,26.125858,69.839051
85.00,27,0.177120,0.024870,26.056794,69.901189
85.00,28,0.174130,0.024660,26.315234,69.642125
85.00,29,0.172320,0.024910,26.045649,69.811431
90.00,0,0.195100,0.030540,26.411242,71.163272
90.00,1,0.196220,0.031600,26.741505,71.321127
90.00,2,0.199740,0.031110,26.390326,71.282939
90.00,3,0.193210,0.029460,26.157400,71.036437
90.00,4,0.196140,0.031640,26.672787,71.208375
90.00,5,0.196950,0.031210,26.948228,71.356169
90.00,6,0.197990,0.031760,26.495426,71.618012
90.00,7,0.195920,0.030570,26.331260,71.090792
90.00,8,0.196870,0.031150,26.842518,71.239033
90.00,9,0.193520,0.031710,26.758435,71.218478
90.00,10,0.199720,0.032300,26.773529,70.970628
90.00,11,0.194520,0.031560,26.736147,71.175726
90.00,12,0.198680,0.030960,26.647133,71.136420
90.00,13,0.196130,0.031720,26.636280,71.313662
90.00,14,0.196020,0.031330,26.941711,70.982889
90.00,15,0.195640,0.030800,26.520207,71.591750
90.00,16,0.194270,0.029200,26.257544,71.107344
90.00,17,0.198820,0.030840,26.647475,71.695823
90.00,18,0.200130,0.031410,26.741133,71.383867
90.00,19,0.199770,0.031330,26.461129,71.356181
90.00,20,0.197080,0.030650,26.749551,71.225764
90.00,21,0.196230,0.029700,26.132407,71.434513
90.00,22,0.199640,0.031690,26.564601,71.447991
90.00,23,0.198980,0.031580,26.692255,71.229449
90.00,24,0.200370,0.031810,26.403578,71.392330
90.00,25,0.192870,0.029970,26.435086,70.832261
90.00,26,0.200770,0.031930,26.306895,71.576456
90.00,27,0.197790,0.031060,26.129351,71.088302
90.00,28,0.195880,0.031910,26.634270,71.150915
90.00,29,0.195610,0.030350,26.444682,71.089535
95.00,0,0.222290,0.040010,27.031124,73.142940
95.00,1,0.218850,0.038470,27.135870,73.026247
95.00,2,0.221030,0.037980,26.880834,72.654177
95.00,3,0.223780,0.039830,27.040139,73.190334
95.00,4,0.215690,0.037960,26.993901,72.747948
95.00,5,0.221110,0.038690,26.998274,72.916112
95.00,6,0.224840,0.039610,27.184270,73.196055
95.00,7,0.216800,0.037770,26.941636,73.599796
95.00,8,0.221990,0.038400,27.146189,72.896832
95.00,9,0.219310,0.038850,27.045235,72.909526
95.00,10,0.216300,0.037470,26.574107,72.783722
95.00,11,0.215390,0.035730,26.540464,72.579231
95.00,12,0.219600,0.038120,27.011070,72.662360
95.00,13,0.216960,0.036890,26.568608,72.695897
95.00,14,0.220740,0.038340,26.722081,73.119583
95.00,15,0.218950,0.037380,26.752237,72.773482
95.00,16,0.218000,0.037980,26.871393,72.475370
95.00,17,0.219980,0.037300,26.588246,72.730449
95.00,18,0.216700,0.037890,26.939813,72.762171
95.00,19,0.218600,0.039150,27.248242,72.736844
95.00,20,0.219030,0.038540,27.134696,72.888082
95.00,21,0.217000,0.037170,26.559817,72.452121
95.00,22,0.219260,0.039030,27.185629,72.369420
95.00,23,0.221640,0.038000,26.806425,72.687478
95.00,24,0.220030,0.038530,26.990164,73.358789
95.00,25,0.215430,0.037330,26.932540,72.810242
95.00,26,0.218370,0.040090,27.067580,73.314243
95.00,27,0.218920,0.037900,26.855419,72.696941
95.00,28,0.218100,0.037470,26.938098,73.020480
95.00,29,0.221010,0.039910,26.987163,73.349079
100.00,0,0.244250,0.046500,27.144812,74.505110
100.00,1,0.239540,0.046860,27.303744,74.767716
100.00,2,0.241850,0.044630,26.914871,74.949244
100.00,3,0.246540,0.047020,27.206383,74.749172
100.00,4,0.245630,0.046690,27.098480,75.274041
100.00,5,0.243120,0.045930,26.759759,74.427201
100.00,6,0.242390,0.046520,27.281775,74.550290
100.00,7,0.243420,0.047420,27.356504,75.101643
100.00,8,0.243750,0.045830,27.375603,74.224251
100.00,9,0.243960,0.047500,27.461342,74.872288
100.00,10,0.238540,0.045130,27.088888,74.008149
100.00,11,0.242650,0.045840,27.272717,74.193529
100.00,12,0.239460,0.045910,27.338968,74.348384
100.00,13,0.241750,0.045880,27.160832,75.043181
100.00,14,0.243010,0.046340,27.236177,74.741439
100.00,15,0.239480,0.047010,27.386290,74.255634
100.00,16,0.242840,0.047280,27.364692,74.231127
100.00,17,0.243400,0.046410,27.300718,74.678634
100.00,18,0.245150,0.047070,27.545898,74.842383
100.00,19,0.245900,0.046400,27.011509,74.256418
100.00,20,0.243100,0.046610,27.075125,74.495271
100.00,21,0.244770,0.045100,27.186670,74.392201
100.00,22,0.245060,0.047200,27.597887,74.977510
100.00,23,0.239320,0.045380,27.021215,74.693987
100.00,24,0.241220,0.047120,26.972188,75.000788
100.00,25,0.237710,0.047360,27.012409,74.075559
100.00,26,0.243510,0.047390,27.137551,74.918618
100.00,27,0.243900,0.048100,27.259648,74.697936
100.00,28,0.241410,0.045300,27.126795,74.371689
100.00,29,0.241760,0.044570,26.825096,74.553247
105.00,0,0.262790,0.054620,27.465496,76.173303
105.00,1,0.265780,0.056350,27.583344,77.165949
105.00,2,0.266640,0.055840,27.543234,76.620611
105.00,3,0.265370,0.054970,27.661630,76.679216
105.00,4,0.263960,0.054200,27.354176,77.036131
105.00,5,0.268260,0.055940,27.612380,76.368686
105.00,6,0.263100,0.053290,27.222340,76.286584
105.00,7,0.262520,0.053580,27.183534,76.980360
105.00,8,0.262910,0.055170,27.540843,76.629246
105.00,9,0.265460,0.055630,27.463064,76.739092
105.00,10,0.262640,0.055940,27.502470,76.194179
105.00,11,0.261460,0.054780,27.267424,76.522094
105.00,12,0.265850,0.055820,27.671479,76.583056
105.00,13,0.263410,0.054690,27.400341,75.981584
105.00,14,0.264070,0.053780,27.683235,76.697461
105.00,15,0.263880,0.056050,27.544738,76.360194
105.00,16,0.268000,0.054350,27.072963,76.745172
105.00,17,0.267860,0.056070,27.474566,76.798260
105.00,18,0.262460,0.054120,27.349665,76.780620
105.00,19,0.268300,0.054130,27.434149,76.599025
105.00,20,0.263560,0.055620,27.713968,76.631784
105.00,21,0.262090,0.053850,27.365662,76.453617
105.00,22,0.266360,0.056100,27.304439,76.874266
105.00,23,0.267350,0.056600,27.423379,76.367439
105.00,24,0.262680,0.054760,27.276670,76.395944
105.00,25,0.262290,0.053590,27.516200,76.183746
105.00,26,0.263310,0.054060,27.515030,77.441892
105.00,27,0.264600,0.055340,27.639080,76.840365
105.00,28,0.267970,0.054720,27.311991,77.140507
105.00,29,0.268940,0.054830,27.643293,76.830913
110.00,0,0.286310,0.064160,27.732791,79.290927
110.00,1,0.287480,0.065130,27.803123,78.798959
110.00,2,0.286970,0.063440,27.755663,78.710307
110.00,3,0.286280,0.064740,27.897281,78.965442
110.00,4,0.289130,0.063690,27.700457,78.895383
110.00,5,0.289030,0.064340,27.758898,78.885733
110.00,6,0.288460,0.064750,27.864493,79.743435
110.00,7,0.287090,0.064960,27.812719,78.477598
110.00,8,0.282900,0.064740,28.154171,78.475825
110.00,9,0.289140,0.066200,27.778565,78.648262
110.00,10,0.281990,0.062680,27.767471,78.037052
110.00,11,0.287290,0.064270,27.692867,78.637461
110.00,12,0.287470,0.066630,27.856544,79.113875
110.00,13,0.284960,0.065900,27.977804,78.780753
110.00,14,0.288240,0.064740,27.665398,78.740303
110.00,15,0.287310,0.065750,28.036223,78.598134
110.00,16,0.283680,0.065520,28.320086,78.426120
110.00,17,0.286000,0.062060,27.727780,78.064344
110.00,18,0.287410,0.064660,27.707157,78.709337
110.00,19,0.285450,0.063910,27.929027,78.162445
110.00,20,0.285280,0.064770,27.856336,78.665716
110.00,21,0.284940,0.063140,27.732121,78.459325
110.00,22,0.290640,0.065410,27.920141,78.773737
110.00,23,0.288490,0.064680,27.980330,79.526206
110.00,24,0.289410,0.064340,27.546650,78.905126
110.00,25,0.289010,0.065680,27.748332,78.931508
110.00,26,0.288350,0.062890,27.407379,78.828275
110.00,27,0.288030,0.064370,27.806246,80.497258
110.00,28,0.282110,0.061380,27.534526,78.096732
110.00,29,0.286530,0.064820,27.731103,79.202077
115.00,0,0.310470,0.075080,28.187971,81.149563
115.00,1,0.307920,0.075560,28.375789,81.081463
115.00,2,0.311360,0.073130,27.995177,81.699983
115.00,3,0.305560,0.075290,28.138375,81.042681
115.00,4,0.308280,0.073680,28.077880,80.843532
115.00,5,0.307170,0.074490,28.283141,80.722962
115.00,6,0.309810,0.075120,27.888617,80.970682
115.00,7,0.309490,0.073510,27.700172,81.399451
115.00,8,0.307920,0.075720,28.184139,80.700766
115.00,9,0.308600,0.073950,27.898193,81.036418
115.00,10,0.306240,0.074360,28.215778,80.899887
115.00,11,0.305580,0.073810,27.766722,80.161759
115.00,12,0.304440,0.074940,28.225492,81.080253
115.00,13,0.311150,0.075440,28.185742,81.379826
115.00,14,0.310040,0.077000,28.260008,80.856007
115.00,15,0.312100,0.076170,28.170201,80.279027
115.00,16,0.309800,0.075180,27.859243,81.107238
115.00,17,0.311580,0.076800,28.245594,81.099864
115.00,18,0.310910,0.075810,28.096175,81.431666
115.00,19,0.302680,0.073280,28.174735,80.059195
115.00,20,0.308830,0.074920,28.230470,81.066139
115.00,21,0.308400,0.074420,27.947951,81.568010
115.00,22,0.308260,0.074440,27.965694,80.903303
115.00,23,0.310370,0.072620,27.917855,81.254625
115.00,24,0.305930,0.075350,28.202040,80.436756
115.00,25,0.313400,0.074490,27.898598,81.757901
115.00,26,0.309270,0.073830,28.050971,81.738659
115.00,27,0.307990,0.075080,28.132654,81.207113
115.00,28,0.304420,0.072100,27.748768,81.628362
115.00,29,0.305290,0.073700,27.995449,80.374124
120.00,0,0.330480,0.086100,28.379295,84.490375
120.00,1,0.331500,0.087050,28.459757,83.432796
120.00,2,0.329410,0.086380,28.533676,83.439096
120.00,3,0.326370,0.083700,28.245960,83.215474
120.00,4,0.328490,0.082800,28.045759,83.458136
120.00,5,0.327220,0.088800,28.521888,83.295074
120.00,6,0.327400,0.085520,28.351112,83.417378
120.00,7,0.325040,0.084730,28.382003,83.418792
120.00,8,0.328270,0.086490,28.200141,83.531124
120.00,9,0.326700,0.084330,28.308325,83.159643
120.00,10,0.326790,0.086240,28.592901,83.217338
120.00,11,0.329940,0.085010,28.156423,85.792854
120.00,12,0.330330,0.085460,28.196745,84.206383
120.00,13,0.329760,0.087670,28.371333,84.069066
120.00,14,0.329080,0.083570,27.962227,84.234270
120.00,15,0.326310,0.084580,28.171894,82.544821
120.00,16,0.328230,0.084450,28.194524,83.853081
120.00,17,0.328680,0.085810,28.486967,83.140628
120.00,18,0.330490,0.086580,28.297898,83.192571
120.00,19,0.332140,0.086220,28.269844,84.135148
120.00,20,0.329010,0.085640,28.428983,84.102607
120.00,21,0.327040,0.086560,28.377086,83.404650
120.00,22,0.330040,0.085940,28.221004,83.843198
120.00,23,0.327710,0.085990,28.504085,83.787247
120.00,24,0.326260,0.088450,28.753772,82.978822
120.00,25,0.332080,0.086480,28.562597,84.386333
120.00,26,0.324970,0.087000,28.411258,82.539040
120.00,27,0.327700,0.084920,28.157500,83.904775
120.00,28,0.326520,0.084820,28.287075,83.680778
120.00,29,0.326370,0.083110,28.044939,83.216495
